Symbol	Name	LastSale	MarketCap	IPOyear	Sector	industry	Summary Quote
TCRD	"THL Credit, Inc."	10.21	$338.66M	2010	n/a	n/a	http://www.nasdaq.com/symbol/tcrd
THLD	"Threshold Pharmaceuticals, Inc."	0.507	$36.28M	2005	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/thld
TICC	TICC Capital Corp.	6.76	$348M	2003	n/a	n/a	http://www.nasdaq.com/symbol/ticc
TIG	TiGenix	14.8	$2.38B	2016	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/tig
TTS	"Tile Shop Hldgs, Inc."	19.45	$1B	n/a	Consumer Services	Home Furnishings	http://www.nasdaq.com/symbol/tts
TIL	Till Capital Ltd.	4.1342	$13.85M	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/til
TSBK	"Timberland Bancorp, Inc."	20.48	$142.37M	n/a	Finance	Banks	http://www.nasdaq.com/symbol/tsbk
TIPT	Tiptree Inc.	6.7	$288.32M	n/a	Finance	Specialty Insurers	http://www.nasdaq.com/symbol/tipt
TITN	Titan Machinery Inc.	14.09	$307.43M	2007	Consumer Services	Other Specialty Stores	http://www.nasdaq.com/symbol/titn
TTNP	"Titan Pharmaceuticals, Inc."	4.4	$93.28M	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/ttnp
TVTY	"Tivity Health, Inc."	23.75	$918.73M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/tvty
TIVO	TiVo Corporation	20.1	$2.4B	n/a	Miscellaneous	Multi-Sector Companies	http://www.nasdaq.com/symbol/tivo
TMUS	"T-Mobile US, Inc."	57.19	$47.13B	n/a	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/tmus
TMUSP	"T-Mobile US, Inc."	94	n/a	n/a	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/tmusp
TKAI	"Tokai Pharmaceuticals, Inc."	1.05	$23.77M	2014	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/tkai
TNXP	Tonix Pharmaceuticals Holding Corp.	0.53	$20.78M	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/tnxp
TISA	"Top Image Systems, Ltd."	1.5	$26.88M	1996	Technology	Computer peripheral equipment	http://www.nasdaq.com/symbol/tisa
TOPS	TOP Ships Inc.	2.5	$14.22M	n/a	Transportation	Marine Transportation	http://www.nasdaq.com/symbol/tops
TORM          	TOR Minerals International Inc	6.0089	$21.28M	1988	Basic Industries	Major Chemicals	http://www.nasdaq.com/symbol/torm
TRCH	"Torchlight Energy Resources, Inc."	1.34	$72.48M	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/trch
TSEM	Tower Semiconductor Ltd.	20.39	$1.76B	1994	Technology	Semiconductors	http://www.nasdaq.com/symbol/tsem
CLUB	"Town Sports International Holdings, Inc."	2.7	$69.16M	2006	Consumer Services	Hotels/Resorts	http://www.nasdaq.com/symbol/club
TOWN	Towne Bank	32.6	$2.03B	n/a	n/a	n/a	http://www.nasdaq.com/symbol/town
TPIC	"TPI Composites, Inc."	17.48	$589.72M	2016	Energy	Industrial Machinery/Components	http://www.nasdaq.com/symbol/tpic
TCON	"TRACON Pharmaceuticals, Inc."	5.6	$90.07M	2015	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/tcon
TSCO	Tractor Supply Company	76.05	$9.98B	1994	Consumer Services	RETAIL: Building Materials	http://www.nasdaq.com/symbol/tsco
TWMC	Trans World Entertainment Corp.	2.9	$104.73M	n/a	Consumer Services	Consumer Electronics/Video Chains	http://www.nasdaq.com/symbol/twmc
TACT	TransAct Technologies Incorporated	6.95	$51.31M	1996	Technology	Computer peripheral equipment	http://www.nasdaq.com/symbol/tact
TRNS	"Transcat, Inc."	10.55	$73.97M	n/a	Capital Goods	Electrical Products	http://www.nasdaq.com/symbol/trns
TBIO	"Transgenomic, Inc."	0.98	$24.29M	2000	Capital Goods	Biotechnology: Laboratory Analytical Instruments	http://www.nasdaq.com/symbol/tbio
TGA	Transglobe Energy Corp	1.78	$128.53M	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/tga
TA	TravelCenters of America LLC	7.35	$285.57M	n/a	Consumer Durables	Automotive Aftermarket	http://www.nasdaq.com/symbol/ta
TANNI	TravelCenters of America LLC	25.4771	n/a	n/a	Consumer Durables	Automotive Aftermarket	http://www.nasdaq.com/symbol/tanni
TANNL	TravelCenters of America LLC	25.4	n/a	n/a	Consumer Durables	Automotive Aftermarket	http://www.nasdaq.com/symbol/tannl
TANNZ	TravelCenters of America LLC	25.34	n/a	n/a	Consumer Durables	Automotive Aftermarket	http://www.nasdaq.com/symbol/tannz
TZOO	Travelzoo Inc.	10.15	$140.33M	n/a	Technology	EDP Services	http://www.nasdaq.com/symbol/tzoo
TRVN	"Trevena, Inc."	6.38	$356M	2014	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/trvn
TCBK	TriCo Bancshares	34.72	$792.56M	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/tcbk
TRIL	Trillium Therapeutics Inc.	5.65	$44.33M	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/tril
TRS	TriMas Corporation	22.35	$1.02B	2007	Capital Goods	Industrial Specialties	http://www.nasdaq.com/symbol/trs
TRMB	Trimble Inc.	30.95	$7.76B	1990	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/trmb
TRIB	Trinity Biotech plc	7.04	$168.68M	1992	Health Care	Biotechnology: In Vitro & In Vivo Diagnostic Substances	http://www.nasdaq.com/symbol/trib
TRIP	"TripAdvisor, Inc."	52.92	$7.71B	n/a	Technology	"Computer Software: Programming, Data Processing"	http://www.nasdaq.com/symbol/trip
TSC	"TriState Capital Holdings, Inc."	21.95	$622.13M	2013	Finance	Major Banks	http://www.nasdaq.com/symbol/tsc
TBK	"Triumph Bancorp, Inc."	26.5	$479.77M	2014	Finance	Major Banks	http://www.nasdaq.com/symbol/tbk
TRVG	trivago N.V.	11.77	$2.77B	2016	n/a	n/a	http://www.nasdaq.com/symbol/trvg
TRNC	"tronc, Inc."	13.65	$497.25M	n/a	Consumer Services	Newspapers/Magazines	http://www.nasdaq.com/symbol/trnc
TROV	"TrovaGene, Inc."	2.4	$73.48M	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/trov
TROVU	"TrovaGene, Inc."	12.74	n/a	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/trovu
TROVW	"TrovaGene, Inc."	0.4	n/a	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	http://www.nasdaq.com/symbol/trovw
TRUE	"TrueCar, Inc."	12.99	$1.11B	2014	Technology	"Computer Software: Programming, Data Processing"	http://www.nasdaq.com/symbol/true
THST	"Truett-Hurst, Inc."	1.88	$8.1M	2013	Consumer Non-Durables	Beverages (Production/Distribution)	http://www.nasdaq.com/symbol/thst
TRUP	"Trupanion, Inc."	14.25	$416.87M	n/a	Health Care	Medical Specialities	http://www.nasdaq.com/symbol/trup
TRST	TrustCo Bank Corp NY	8.55	$818.28M	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/trst
TRMK	Trustmark Corporation	34.26	$2.32B	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/trmk
TSRI	"TSR, Inc."	5.7	$11.18M	n/a	Technology	EDP Services	http://www.nasdaq.com/symbol/tsri
TTMI	"TTM Technologies, Inc."	14.65	$1.47B	2000	Technology	Electrical Products	http://www.nasdaq.com/symbol/ttmi
TCX	Tucows Inc.	38	$397.32M	n/a	Technology	EDP Services	http://www.nasdaq.com/symbol/tcx
TUES	Tuesday Morning Corp.	5.35	$241.22M	1999	Consumer Services	Department/Specialty Retail Stores	http://www.nasdaq.com/symbol/tues
TOUR	Tuniu Corporation	9.13	$873.35M	2014	Consumer Services	Transportation Services	http://www.nasdaq.com/symbol/tour
HEAR	Turtle Beach Corporation	1.46	$71.91M	n/a	Consumer Durables	Telecommunications Equipment	http://www.nasdaq.com/symbol/hear
TUTI	Tuttle Tactical Management Multi-Strategy Income ETF	22.44	$40.39M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/tuti
TUTT	Tuttle Tactical Management U.S. Core ETF	21.85	$65.55M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/tutt
FOX	"Twenty-First Century Fox, Inc."	29.25	$54.27B	n/a	Consumer Services	Television Services	http://www.nasdaq.com/symbol/fox
FOXA	"Twenty-First Century Fox, Inc."	30.03	$36.66B	n/a	Consumer Services	Television Services	http://www.nasdaq.com/symbol/foxa
